period,period_label,high_exposure,exposure_label,num_prs,num_repos,num_authors,avg_lead_time_hours,median_lead_time_hours,p75_lead_time_hours,p90_lead_time_hours,avg_time_to_review_hours,median_time_to_review_hours,median_pr_size,num_active_developers,throughput_mean_prs_per_dev,throughput_median_prs_per_dev,throughput_std_prs_per_dev,throughput_p75_prs_per_dev,throughput_p90_prs_per_dev,total_prs_from_devs,avg_active_weeks,median_active_weeks,burstiness_cv_weekly_mean,burstiness_cv_weekly_median,burstiness_cv_weekly_std,num_devs_with_gaps,slack_mean_gap_hours,slack_median_gap_hours,slack_p75_gap_hours,slack_mean_gap_bdays,slack_median_gap_bdays
2021,Pre-LLM (June 2021),True,High AI-Exposure,1102066,217001,167994,38.65510595554167,0,15,117,35.42470957095709,1,37,167847,4.193801497792633,2.0,13.88149848141654,4.0,9.0,703917,1.6967714644884926,1.0,0.41907361491681433,0.4714045207910317,0.32503641098591335,59490,77.877631857331,23.0,74.0,9.734703982166375,2.875
2021,Pre-LLM (June 2021),False,Low AI-Exposure,5746,1454,1635,52.22415593456317,2,40,167,43.75418125243097,3,50,1623,3.152803450400493,1.0,4.611417286055271,3.0,7.0,5117,1.6420209488601356,1.0,0.3485943208820816,0.4,0.31984018627755345,523,96.37905686405354,26.0,95.0,12.047382108006692,3.25
2025,Post-LLM (June 2025),True,High AI-Exposure,1450275,293981,255024,18.237761114271425,0,1,31,29.850925715656835,0,60,254132,4.132230494388743,2.0,14.541470428520185,4.0,8.0,1050132,1.579938771976768,1.0,0.4221488148312984,0.4714045207910317,0.33578255862339573,82631,78.11584824917495,23.0,72.0,9.764481031146868,2.875
2025,Post-LLM (June 2025),False,Low AI-Exposure,4483,1241,1432,44.90742806156591,1,23,140,53.68839427662959,5,53,1417,2.6556104446012703,1.0,4.025162548650022,3.0,5.0,3763,1.4982357092448835,1.0,0.36575101330715426,0.4330127018922194,0.327220205246237,388,104.3829382661945,29.0,118.0,13.047867283274313,3.625
