level,metric,high_2021,high_2025,high_change_pct,low_2021,low_2025,low_change_pct,did_effect
Task,Time to First Review,14.607623311246474,11.918488607090218,-18.409118628393706,17.519866320089115,18.06922498118886,3.1356327215226854,-21.544751349916393
PR,PR Lead Time,18.07989270464341,9.684750034143052,-46.433586789728324,33.14000725426186,27.68165374677003,-16.470586338782034,-29.96300045094629
Release,Releases per Repo,2.92005867253392,3.0714603359217323,5.184884290575953,3.704301075268817,1.708029197080292,-53.890648670981946,59.0755329615579
