quintile,throughput_mean_pre,throughput_mean_post,throughput_mean_change_pct,throughput_median_pre,throughput_median_post,throughput_median_change_pct,burstiness_cv_mean_pre,burstiness_cv_mean_post,burstiness_cv_mean_change_pct,active_weeks_mean_pre,active_weeks_mean_post,active_weeks_mean_change_pct,slack_gap_mean_pre,slack_gap_mean_post,slack_gap_mean_change_pct,slack_gap_median_pre,slack_gap_median_post,slack_gap_median_change_pct,lead_time_mean_pre,lead_time_mean_post,lead_time_mean_change_pct
Q5 (Top 20%),13.60313541170871,13.623931455971073,0.15287684517543992,9.0,8.0,-11.11111111111111,0.6127388707488084,0.6080797856249167,-0.7603704198165141,3.1614112327463113,2.826045944936821,-10.608088069522017,32.983570814396266,38.75315353132543,17.49229260044497,21.0,22.0,4.761904761904762,27.456970859374547,15.611833942712336,-43.1407272758858
Q4,3.5787155526456758,3.302371308348736,-7.721883458791351,3.0,3.0,0.0,0.35155347481276783,0.3128294629985243,-11.015112803213606,2.013481340396405,1.8538676314444138,-7.927250466625487,62.980442285568195,68.22778921951566,8.331708612262124,32.0,29.0,-9.375,38.76815219332183,26.959560606656442,-30.459516171367916
Q1 (Bottom 20%),1.0,1.0,0.0,1.0,1.0,0.0,0.8004399502847273,0.8031641893621492,0.3403427173334953,1.0,1.0,0.0,115.53631284916202,93.32407407407408,-19.22533117712268,63.0,49.0,-22.22222222222222,50.89636888981561,39.5706893838042,-22.252431269763303
Q3,1.7876288045744237,1.739662430656647,-2.6832401556203345,2.0,2.0,0.0,0.0055413562022627386,0.0038077524544384454,-31.28482783901167,1.3073440943474894,1.2189086044773183,-6.7645151917185435,82.10325732899022,76.60614258434119,-6.695367423270351,43.0,28.0,-34.883720930232556,42.752273313876145,30.517393214515216,-28.618080749848318
Q2,1.0,1.0,0.0,1.0,1.0,0.0,,,,1.0,1.0,0.0,95.52739726027397,101.78205128205128,6.547497577826684,52.5,52.5,0.0,52.75715690071197,38.85861566914571,-26.34437116792147
