high_exposure,exposure_label,median_time_to_review_hours_pre,median_time_to_review_hours_post,median_time_to_review_hours_change_pct,avg_prs_per_developer_month_pre,avg_prs_per_developer_month_post,avg_prs_per_developer_month_change_pct,median_inter_pr_gap_hours_pre,median_inter_pr_gap_hours_post,median_inter_pr_gap_hours_change_pct,median_inter_pr_gap_business_days_pre,median_inter_pr_gap_business_days_post,median_inter_pr_gap_business_days_change_pct,median_lead_time_hours_pre,median_lead_time_hours_post,median_lead_time_hours_change_pct
True,High (Python/JS/Java/TS),1,0,-100.0,4.193801497792633,4.132230494388743,-1.4681430066801384,23.0,23.0,0.0,2.875,2.875,0.0,,,
False,Low (Fortran/COBOL/etc),3,5,66.66666666666666,3.152803450400493,2.6556104446012703,-15.769870010008566,26.0,29.0,11.538461538461538,3.25,3.625,11.538461538461538,2.0,1.0,-50.0
